"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2021-W09";"CH055";"Y30T34";"T";"P";1
"2021-W09";"CH055";"Y30T34";"F";"P";1
"2021-W09";"CH055";"Y55T59";"T";"P";3
"2021-W09";"CH055";"Y55T59";"F";"P";1
"2021-W09";"CH055";"Y55T59";"M";"P";2
"2021-W09";"CH055";"Y60T64";"T";"P";6
"2021-W09";"CH055";"Y60T64";"F";"P";2
"2021-W09";"CH055";"Y60T64";"M";"P";4
"2021-W09";"CH055";"Y65T69";"T";"P";3
"2021-W09";"CH055";"Y65T69";"M";"P";3
"2021-W09";"CH055";"Y70T74";"T";"P";5
"2021-W09";"CH055";"Y70T74";"F";"P";2
"2021-W09";"CH055";"Y70T74";"M";"P";3
"2021-W09";"CH055";"Y75T79";"T";"P";12
"2021-W09";"CH055";"Y75T79";"F";"P";4
"2021-W09";"CH055";"Y75T79";"M";"P";8
"2021-W09";"CH055";"Y80T84";"T";"P";9
"2021-W09";"CH055";"Y80T84";"F";"P";1
"2021-W09";"CH055";"Y80T84";"M";"P";8
"2021-W09";"CH055";"Y85T89";"T";"P";13
"2021-W09";"CH055";"Y85T89";"F";"P";8
"2021-W09";"CH055";"Y85T89";"M";"P";5
"2021-W09";"CH055";"Y_GE90";"T";"P";26
"2021-W09";"CH055";"Y_GE90";"F";"P";20
"2021-W09";"CH055";"Y_GE90";"M";"P";6
"2021-W09";"CH056";"_T";"T";"P";28
"2021-W09";"CH056";"_T";"F";"P";17
"2021-W09";"CH056";"_T";"M";"P";11
"2021-W09";"CH056";"Y50T54";"T";"P";1
"2021-W09";"CH056";"Y50T54";"M";"P";1
"2021-W09";"CH056";"Y60T64";"T";"P";1
"2021-W09";"CH056";"Y60T64";"M";"P";1
"2021-W09";"CH056";"Y65T69";"T";"P";1
"2021-W09";"CH056";"Y65T69";"F";"P";1
"2021-W09";"CH056";"Y70T74";"T";"P";2
"2021-W09";"CH056";"Y70T74";"M";"P";2
"2021-W09";"CH056";"Y80T84";"T";"P";5
"2021-W09";"CH056";"Y80T84";"F";"P";4
"2021-W09";"CH056";"Y80T84";"M";"P";1
"2021-W09";"CH056";"Y85T89";"T";"P";4
"2021-W09";"CH056";"Y85T89";"F";"P";2
"2021-W09";"CH056";"Y85T89";"M";"P";2
"2021-W09";"CH056";"Y_GE90";"T";"P";14
"2021-W09";"CH056";"Y_GE90";"F";"P";10
"2021-W09";"CH056";"Y_GE90";"M";"P";4
"2021-W09";"CH057";"_T";"T";"P";31
"2021-W09";"CH057";"_T";"F";"P";14
"2021-W09";"CH057";"_T";"M";"P";17
"2021-W09";"CH057";"Y60T64";"T";"P";1
"2021-W09";"CH057";"Y60T64";"M";"P";1
"2021-W09";"CH057";"Y65T69";"T";"P";1
"2021-W09";"CH057";"Y65T69";"M";"P";1
"2021-W09";"CH057";"Y70T74";"T";"P";4
"2021-W09";"CH057";"Y70T74";"F";"P";2
"2021-W09";"CH057";"Y70T74";"M";"P";2
"2021-W09";"CH057";"Y75T79";"T";"P";7
"2021-W09";"CH057";"Y75T79";"F";"P";3
"2021-W09";"CH057";"Y75T79";"M";"P";4
"2021-W09";"CH057";"Y80T84";"T";"P";5
"2021-W09";"CH057";"Y80T84";"F";"P";2
"2021-W09";"CH057";"Y80T84";"M";"P";3
"2021-W09";"CH057";"Y85T89";"T";"P";8
"2021-W09";"CH057";"Y85T89";"F";"P";3
"2021-W09";"CH057";"Y85T89";"M";"P";5
"2021-W09";"CH057";"Y_GE90";"T";"P";5
"2021-W09";"CH057";"Y_GE90";"F";"P";4
"2021-W09";"CH057";"Y_GE90";"M";"P";1
"2021-W09";"CH061";"_T";"T";"P";56
"2021-W09";"CH061";"_T";"F";"P";27
"2021-W09";"CH061";"_T";"M";"P";29
"2021-W09";"CH061";"Y10T14";"T";"P";1
"2021-W09";"CH061";"Y10T14";"F";"P";1
