TIME_PERIOD;GEO;AGE;SEX;OBS_STATUS;OBS_VALUE
2020-W01;CH057;Y80T84;F;P;2
2020-W01;CH057;Y80T84;M;P;2
2020-W01;CH057;Y85T89;T;P;5
2020-W01;CH057;Y85T89;F;P;2
2020-W01;CH057;Y85T89;M;P;3
2020-W01;CH057;Y_GE90;T;P;6
2020-W01;CH057;Y_GE90;F;P;5
2020-W01;CH057;Y_GE90;M;P;1
2020-W01;CH061;_T;T;P;72
2020-W01;CH061;_T;F;P;43
2020-W01;CH061;_T;M;P;29
2020-W01;CH061;Y15T19;T;P;1
2020-W01;CH061;Y15T19;M;P;1
2020-W01;CH061;Y40T44;T;P;1
2020-W01;CH061;Y40T44;M;P;1
2020-W01;CH061;Y45T49;T;P;2
2020-W01;CH061;Y45T49;M;P;2
2020-W01;CH061;Y50T54;T;P;2
2020-W01;CH061;Y50T54;F;P;1
2020-W01;CH061;Y50T54;M;P;1
2020-W01;CH061;Y55T59;T;P;5
2020-W01;CH061;Y55T59;F;P;3
2020-W01;CH061;Y55T59;M;P;2
2020-W01;CH061;Y60T64;T;P;3
2020-W01;CH061;Y60T64;F;P;1
2020-W01;CH061;Y60T64;M;P;2
2020-W01;CH061;Y65T69;T;P;2
2020-W01;CH061;Y65T69;F;P;1
2020-W01;CH061;Y65T69;M;P;1
2020-W01;CH061;Y70T74;T;P;3
2020-W01;CH061;Y70T74;F;P;2
2020-W01;CH061;Y70T74;M;P;1
2020-W01;CH061;Y75T79;T;P;6
2020-W01;CH061;Y75T79;F;P;3
2020-W01;CH061;Y75T79;M;P;3
2020-W01;CH061;Y80T84;T;P;9
2020-W01;CH061;Y80T84;F;P;2
2020-W01;CH061;Y80T84;M;P;7
2020-W01;CH061;Y85T89;T;P;14
2020-W01;CH061;Y85T89;F;P;9
2020-W01;CH061;Y85T89;M;P;5
2020-W01;CH061;Y_GE90;T;P;24
2020-W01;CH061;Y_GE90;F;P;21
2020-W01;CH061;Y_GE90;M;P;3
2020-W01;CH062;_T;T;P;8
2020-W01;CH062;_T;F;P;3
2020-W01;CH062;_T;M;P;5
2020-W01;CH062;Y65T69;T;P;1
2020-W01;CH062;Y65T69;F;P;1
2020-W01;CH062;Y80T84;T;P;1
2020-W01;CH062;Y80T84;M;P;1
2020-W01;CH062;Y85T89;T;P;1
2020-W01;CH062;Y85T89;M;P;1
2020-W01;CH062;Y_GE90;T;P;5
2020-W01;CH062;Y_GE90;F;P;2
2020-W01;CH062;Y_GE90;M;P;3
2020-W01;CH063;_T;T;P;26
2020-W01;CH063;_T;F;P;14
2020-W01;CH063;_T;M;P;12
2020-W01;CH063;Y15T19;T;P;1
2020-W01;CH063;Y15T19;M;P;1
2020-W01;CH063;Y50T54;T;P;1
2020-W01;CH063;Y50T54;M;P;1
2020-W01;CH063;Y65T69;T;P;1
2020-W01;CH063;Y65T69;F;P;1
2020-W01;CH063;Y70T74;T;P;3
2020-W01;CH063;Y70T74;M;P;3
2020-W01;CH063;Y75T79;T;P;4
2020-W01;CH063;Y75T79;F;P;2
2020-W01;CH063;Y75T79;M;P;2
2020-W01;CH063;Y80T84;T;P;3
2020-W01;CH063;Y80T84;F;P;3
2020-W01;CH063;Y85T89;T;P;8
2020-W01;CH063;Y85T89;F;P;4
2020-W01;CH063;Y85T89;M;P;4
2020-W01;CH063;Y_GE90;T;P;5
2020-W01;CH063;Y_GE90;F;P;4
2020-W01;CH063;Y_GE90;M;P;1
2020-W01;CH064;_T;T;P;4
2020-W01;CH064;_T;M;P;4
2020-W01;CH064;Y35T39;T;P;1
2020-W01;CH064;Y35T39;M;P;1
2020-W01;CH064;Y45T49;T;P;1
2020-W01;CH064;Y45T49;M;P;1
2020-W01;CH064;Y70T74;T;P;1
2020-W01;CH064;Y70T74;M;P;1
2020-W01;CH064;Y_GE90;T;P;1
