"sex","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"female","CH",202045,236,1245,0.431,43.1,4337170,5.44,28.71,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-45",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202046,302,1547,0.5,50,4337170,6.96,35.67,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-46",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202047,269,1816,0.453,45.3,4337170,6.2,41.87,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-47",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202048,272,2088,0.452,45.2,4337170,6.27,48.14,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-48",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202049,285,2373,0.486,48.6,4337170,6.57,54.71,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-49",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202050,287,2660,0.486,48.6,4337170,6.62,61.33,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-50",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202051,322,2982,0.515,51.5,4337170,7.42,68.75,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-51",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202052,286,3268,0.49,49,4337170,6.59,75.35,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-52",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202053,254,3522,0.487,48.7,4337170,5.86,81.21,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-53",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202101,175,3697,0.435,43.5,4337170,4.03,85.24,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-01",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202102,151,3848,0.428,42.8,4337170,3.48,88.72,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-02",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202103,161,4009,0.505,50.5,4337170,3.71,92.43,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-03",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202104,102,4111,0.464,46.4,4337170,2.35,94.79,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-04",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202105,82,4193,0.532,53.2,4337170,1.89,96.68,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-05",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202106,52,4245,0.426,42.6,4337170,1.2,97.87,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-06",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202107,43,4288,0.531,53.1,4337170,0.99,98.87,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-07",TRUE,TRUE,TRUE,FALSE,FALSE
"female","CH",202108,25,4313,0.446,44.6,4337170,0.58,99.44,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-08",TRUE,TRUE,TRUE,TRUE,FALSE
"female","CH",202109,25,4338,0.472,47.2,4337170,0.58,100.02,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-09",TRUE,TRUE,TRUE,TRUE,FALSE
"female","CH",202110,25,4363,0.385,38.5,4337170,0.58,100.6,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-10",TRUE,TRUE,TRUE,TRUE,TRUE
"female","CH",202111,25,4388,0.455,45.5,4337170,0.58,101.17,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-11",TRUE,TRUE,TRUE,TRUE,TRUE
"female","CH",202112,7,4395,0.636,63.6,4337170,0.16,101.33,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-12",FALSE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202009,0,0,NA,NA,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202010,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202011,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202012,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202013,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202014,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202015,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202016,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202017,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202018,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202019,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202020,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202021,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202022,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202023,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202024,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202025,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202026,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202027,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202028,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202029,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202030,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202031,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202032,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"unknown","CH",202033,0,0,0,0,NA,NA,NA,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
