"geoRegion","geoLevel","quarantineStart","quarantineEnd","type","version"
"SI","ISO2",2020-12-14,NA,"COVID19IntQua","2021-03-24_00-00-00"
"SJ","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"SK","ISO2",2021-02-01,NA,"COVID19IntQua","2021-03-24_00-00-00"
"SL","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"SM","ISO2",2020-12-14,NA,"COVID19IntQua","2021-03-24_00-00-00"
"SN","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"SO","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"SR","ISO2",2020-07-23,2020-10-12,"COVID19IntQua","2021-03-24_00-00-00"
"SS","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ST","ISO2",2020-08-08,2020-08-20,"COVID19IntQua","2021-03-24_00-00-00"
"SV","ISO2",2020-07-23,2020-09-07,"COVID19IntQua","2021-03-24_00-00-00"
"SX","ISO2",2021-01-15,NA,"COVID19IntQua","2021-03-24_00-00-00"
"SY","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"SZ","ISO2",2020-07-23,2020-09-07,"COVID19IntQua","2021-03-24_00-00-00"
"TC","ISO2",2020-07-06,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"TD","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"TF","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"TG","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"TH","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"TJ","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"TK","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"TL","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"TM","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"TN","ISO2",2020-10-12,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"TO","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"TR","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"TT","ISO2",2020-09-07,2020-10-12,"COVID19IntQua","2021-03-24_00-00-00"
"TV","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"TW","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"TZ","ISO2",2021-04-05,NA,"COVID19IntQua","2021-03-24_00-00-00"
"UA","ISO2",2021-04-05,NA,"COVID19IntQua","2021-03-24_00-00-00"
"UG","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"UM","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"US","ISO2",2020-12-14,2021-03-25,"COVID19IntQua","2021-03-24_00-00-00"
"UY","ISO2",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"UZ","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"VA","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"VC","ISO2",2021-02-22,2021-03-11,"COVID19IntQua","2021-03-24_00-00-00"
"VE","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"VG","ISO2",2020-09-14,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"VI","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"VN","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"VU","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"WF","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"WS","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"XK","NUTS-1",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"YE","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"YT","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ZA","ISO2",2020-12-14,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ZM","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ZW","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
