"date","geoRegion","altersklasse_covid19","entries","type_variant","pop","sumTotal","per100Persons","per100Persons_mean7d","per100PersonsTotal","mean7d","type","version","granularity","freq","prct"
202110,"GR","20 - 29",100,"altersklasse_covid19",22953,834,0.44,NA,3.63,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.022,2.2
202111,"GR","20 - 29",77,"altersklasse_covid19",22953,911,0.34,NA,3.97,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.025,2.5
202052,"GR","30 - 39",0,"altersklasse_covid19",25696,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",NA,NA
202053,"GR","30 - 39",0,"altersklasse_covid19",25696,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",NA,NA
202101,"GR","30 - 39",27,"altersklasse_covid19",25696,27,0.11,NA,0.11,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.042,4.2
202102,"GR","30 - 39",153,"altersklasse_covid19",25696,180,0.6,0.29,0.7,73.14,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.081,8.1
202103,"GR","30 - 39",123,"altersklasse_covid19",25696,303,0.48,0.41,1.18,106.14,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.068,6.8
202104,"GR","30 - 39",73,"altersklasse_covid19",25696,376,0.28,0.46,1.46,118.43,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.024,2.4
202105,"GR","30 - 39",136,"altersklasse_covid19",25696,512,0.53,0.52,1.99,132.71,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.062,6.2
202106,"GR","30 - 39",231,"altersklasse_covid19",25696,743,0.9,0.47,2.89,121.29,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.063,6.3
202107,"GR","30 - 39",86,"altersklasse_covid19",25696,829,0.33,0.47,3.23,121.86,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.031,3.1
202108,"GR","30 - 39",127,"altersklasse_covid19",25696,956,0.49,0.48,3.72,124.14,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.037,3.7
202109,"GR","30 - 39",73,"altersklasse_covid19",25696,1029,0.28,NA,4,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.019,1.9
202110,"GR","30 - 39",127,"altersklasse_covid19",25696,1156,0.49,NA,4.5,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.028,2.8
202111,"GR","30 - 39",89,"altersklasse_covid19",25696,1245,0.35,NA,4.85,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.029,2.9
202052,"GR","40 - 49",0,"altersklasse_covid19",26347,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",NA,NA
202053,"GR","40 - 49",0,"altersklasse_covid19",26347,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",NA,NA
202101,"GR","40 - 49",37,"altersklasse_covid19",26347,37,0.14,NA,0.14,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.058,5.8
202102,"GR","40 - 49",232,"altersklasse_covid19",26347,269,0.88,0.43,1.02,112.14,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.123,12.3
202103,"GR","40 - 49",186,"altersklasse_covid19",26347,455,0.71,0.6,1.73,157.14,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.103,10.3
202104,"GR","40 - 49",107,"altersklasse_covid19",26347,562,0.41,0.67,2.13,176.71,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.035,3.5
202105,"GR","40 - 49",223,"altersklasse_covid19",26347,785,0.85,0.76,2.98,200.14,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.101,10.1
202106,"GR","40 - 49",315,"altersklasse_covid19",26347,1100,1.2,0.7,4.18,184.29,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.086,8.6
202107,"GR","40 - 49",137,"altersklasse_covid19",26347,1237,0.52,0.69,4.7,181.29,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.049,4.9
