Provincias;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM46;29
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM45;45
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM44;38
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM43;39
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM42;27
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM41;41
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM40;27
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM39;37
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM38;36
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM37;28
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM36;45
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM35;48
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM34;35
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM33;38
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM32;41
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM31;38
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM30;33
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM29;34
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM28;40
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM27;31
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM26;31
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM25;37
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM24;36
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM23;31
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM22;29
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM21;37
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM20;35
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM19;33
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM18;27
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM17;32
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM16;29
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM15;42
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM14;42
